"Evaluation","Journal","issnJournal","nameJournal","KnowledgeField","idKnowledgeField","nameKnowledgeField","yearEvaluation","yearIndex","Qualis","qualisIndex"
"Journal_1415-8973_KnowledgeField_38_YearEvaluation_2005_Qualis_B4","Journal_1415-8973","1415-8973","A Cor das Letras (UEFS)","KnowledgeField_38",38,"EDUCAÇÃO","YearEvaluation_2005",2005,"Qualis_B4","B4"
"Journal_1415-8973_KnowledgeField_40_YearEvaluation_2005_Qualis_B5","Journal_1415-8973","1415-8973","A Cor das Letras (UEFS)","KnowledgeField_40",40,"HISTÓRIA","YearEvaluation_2005",2005,"Qualis_B5","B5"
"Journal_1415-8973_KnowledgeField_45_YearEvaluation_2005_Qualis_B2","Journal_1415-8973","1415-8973","A Cor das Letras (UEFS)","KnowledgeField_45",45,"INTERDISCIPLINAR","YearEvaluation_2005",2005,"Qualis_B2","B2"
"Journal_1415-8973_KnowledgeField_41_YearEvaluation_2005_Qualis_B3","Journal_1415-8973","1415-8973","A Cor das Letras (UEFS)","KnowledgeField_41",41,"LETRAS / LINGUÍSTICA","YearEvaluation_2005",2005,"Qualis_B3","B3"
"Journal_0011-7641_KnowledgeField_26_YearEvaluation_2005_Qualis_C","Journal_0011-7641","0011-7641","A Defesa Nacional","KnowledgeField_26",26,"DIREITO","YearEvaluation_2005",2005,"Qualis_C","C"
"Journal_0011-7641_KnowledgeField_40_YearEvaluation_2005_Qualis_C","Journal_0011-7641","0011-7641","A Defesa Nacional","KnowledgeField_40",40,"HISTÓRIA","YearEvaluation_2005",2005,"Qualis_C","C"
"Journal_0011-7641_KnowledgeField_45_YearEvaluation_2005_Qualis_B3","Journal_0011-7641","0011-7641","A Defesa Nacional","KnowledgeField_45",45,"INTERDISCIPLINAR","YearEvaluation_2005",2005,"Qualis_B3","B3"
"Journal_1413-6090_KnowledgeField_27_YearEvaluation_2005_Qualis_B5","Journal_1413-6090","1413-6090","A Economia em Revista","KnowledgeField_27",27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","YearEvaluation_2005",2005,"Qualis_B5","B5"
"Journal_1413-6090_KnowledgeField_28_YearEvaluation_2005_Qualis_B5","Journal_1413-6090","1413-6090","A Economia em Revista","KnowledgeField_28",28,"ECONOMIA","YearEvaluation_2005",2005,"Qualis_B5","B5"
"Journal_1413-6090_KnowledgeField_36_YearEvaluation_2005_Qualis_B3","Journal_1413-6090","1413-6090","A Economia em Revista","KnowledgeField_36",36,"GEOGRAFIA","YearEvaluation_2005",2005,"Qualis_B3","B3"
"Journal_0101-9163_KnowledgeField_42_YearEvaluation_2005_Qualis_B4","Journal_0101-9163","0101-9163","A Hora Veterinária","KnowledgeField_42",42,"CIÊNCIAS AGRÁRIAS I","YearEvaluation_2005",2005,"Qualis_B4","B4"
"Journal_0101-9163_KnowledgeField_6_YearEvaluation_2005_Qualis_B5","Journal_0101-9163","0101-9163","A Hora Veterinária","KnowledgeField_6",6,"CIÊNCIAS BIOLÓGICAS I","YearEvaluation_2005",2005,"Qualis_B5","B5"
"Journal_0101-9163_KnowledgeField_45_YearEvaluation_2005_Qualis_B4","Journal_0101-9163","0101-9163","A Hora Veterinária","KnowledgeField_45",45,"INTERDISCIPLINAR","YearEvaluation_2005",2005,"Qualis_B4","B4"
"Journal_0101-9163_KnowledgeField_23_YearEvaluation_2005_Qualis_B5","Journal_0101-9163","0101-9163","A Hora Veterinária","KnowledgeField_23",23,"ZOOTECNIA / RECURSOS PESQUEIROS","YearEvaluation_2005",2005,"Qualis_B5","B5"
"Journal_1137-8204_KnowledgeField_33_YearEvaluation_2005_Qualis_B3","Journal_1137-8204","1137-8204","A Parte Rei (Sociedad de Estudios Filosóficos Juan Blanco","KnowledgeField_33",33,"FILOSOFIA","YearEvaluation_2005",2005,"Qualis_B3","B3"
"Journal_1676-0336_KnowledgeField_38_YearEvaluation_2005_Qualis_B5","Journal_1676-0336","1676-0336","A Terceira Idade","KnowledgeField_38",38,"EDUCAÇÃO","YearEvaluation_2005",2005,"Qualis_B5","B5"
"Journal_1676-0336_KnowledgeField_21_YearEvaluation_2005_Qualis_B5","Journal_1676-0336","1676-0336","A Terceira Idade","KnowledgeField_21",21,"EDUCAÇÃO FÍSICA","YearEvaluation_2005",2005,"Qualis_B5","B5"
"Journal_1676-0336_KnowledgeField_20_YearEvaluation_2005_Qualis_B4","Journal_1676-0336","1676-0336","A Terceira Idade","KnowledgeField_20",20,"ENFERMAGEM","YearEvaluation_2005",2005,"Qualis_B4","B4"
"Journal_1676-0336_KnowledgeField_10_YearEvaluation_2005_Qualis_B5","Journal_1676-0336","1676-0336","A Terceira Idade","KnowledgeField_10",10,"ENGENHARIAS I","YearEvaluation_2005",2005,"Qualis_B5","B5"
"Journal_1676-0336_KnowledgeField_13_YearEvaluation_2005_Qualis_B5","Journal_1676-0336","1676-0336","A Terceira Idade","KnowledgeField_13",13,"ENGENHARIAS III","YearEvaluation_2005",2005,"Qualis_B5","B5"
"Journal_1676-0336_KnowledgeField_45_YearEvaluation_2005_Qualis_B3","Journal_1676-0336","1676-0336","A Terceira Idade","KnowledgeField_45",45,"INTERDISCIPLINAR","YearEvaluation_2005",2005,"Qualis_B3","B3"
"Journal_1676-0336_KnowledgeField_37_YearEvaluation_2005_Qualis_B4","Journal_1676-0336","1676-0336","A Terceira Idade","KnowledgeField_37",37,"PSICOLOGIA","YearEvaluation_2005",2005,"Qualis_B4","B4"
"Journal_1676-0336_KnowledgeField_32_YearEvaluation_2005_Qualis_B4","Journal_1676-0336","1676-0336","A Terceira Idade","KnowledgeField_32",32,"SERVIÇO SOCIAL","YearEvaluation_2005",2005,"Qualis_B4","B4"
"Journal_1516-3210_KnowledgeField_26_YearEvaluation_2005_Qualis_B5","Journal_1516-3210","1516-3210","A&C. Revista de Direito Administrativo & Constitucional","KnowledgeField_26",26,"DIREITO","YearEvaluation_2005",2005,"Qualis_B5","B5"
"Journal_0213-487X_KnowledgeField_29_YearEvaluation_2005_Qualis_A2","Journal_0213-487X","0213-487X","A&V Monografías","KnowledgeField_29",29,"ARQUITETURA, URBANISMO E DESIGN","YearEvaluation_2005",2005,"Qualis_A2","A2"
"Journal_1028-3072_KnowledgeField_29_YearEvaluation_2005_Qualis_B5","Journal_1028-3072","1028-3072","AAA. Archivos de Arquitectura Antillana","KnowledgeField_29",29,"ARQUITETURA, URBANISMO E DESIGN","YearEvaluation_2005",2005,"Qualis_B5","B5"
"Journal_1028-3072_KnowledgeField_15_YearEvaluation_2005_Qualis_C","Journal_1028-3072","1028-3072","AAA. Archivos de Arquitectura Antillana","KnowledgeField_15",15,"MEDICINA I","YearEvaluation_2005",2005,"Qualis_C","C"
"Journal_0149-1423_KnowledgeField_5_YearEvaluation_2005_Qualis_B1","Journal_0149-1423","0149-1423","AAPG Bulletin","KnowledgeField_5",5,"GEOCIÊNCIAS","YearEvaluation_2005",2005,"Qualis_B1","B1"
"Journal_1522-1059_KnowledgeField_19_YearEvaluation_2005_Qualis_B2","Journal_1522-1059","1522-1059","AAPS PharmSci","KnowledgeField_19",19,"FARMÁCIA","YearEvaluation_2005",2005,"Qualis_B2","B2"
"Journal_1530-9932_KnowledgeField_19_YearEvaluation_2005_Qualis_B2","Journal_1530-9932","1530-9932","AAPS PharmSciTech","KnowledgeField_19",19,"FARMÁCIA","YearEvaluation_2005",2005,"Qualis_B2","B2"
"Journal_0747-0088_KnowledgeField_16_YearEvaluation_2005_Qualis_B3","Journal_0747-0088","0747-0088","ABA Journal","KnowledgeField_16",16,"MEDICINA II","YearEvaluation_2005",2005,"Qualis_B3","B3"
"Journal_0213-6252_KnowledgeField_40_YearEvaluation_2005_Qualis_C","Journal_0213-6252","0213-6252","Abaco (Gijón)","KnowledgeField_40",40,"HISTÓRIA","YearEvaluation_2005",2005,"Qualis_C","C"
"Journal_1676-5656_KnowledgeField_29_YearEvaluation_2005_Qualis_B4","Journal_1676-5656","1676-5656","ABC Design","KnowledgeField_29",29,"ARQUITETURA, URBANISMO E DESIGN","YearEvaluation_2005",2005,"Qualis_B4","B4"
"Journal_1676-5656_KnowledgeField_12_YearEvaluation_2005_Qualis_B3","Journal_1676-5656","1676-5656","ABC Design","KnowledgeField_12",12,"ENGENHARIAS II","YearEvaluation_2005",2005,"Qualis_B3","B3"
"Journal_1676-5656_KnowledgeField_45_YearEvaluation_2005_Qualis_B4","Journal_1676-5656","1676-5656","ABC Design","KnowledgeField_45",45,"INTERDISCIPLINAR","YearEvaluation_2005",2005,"Qualis_B4","B4"
"Journal_0102-6720_KnowledgeField_45_YearEvaluation_2005_Qualis_B3","Journal_0102-6720","0102-6720","ABCD Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","KnowledgeField_45",45,"INTERDISCIPLINAR","YearEvaluation_2005",2005,"Qualis_B3","B3"
"Journal_0102-6720_KnowledgeField_15_YearEvaluation_2005_Qualis_B5","Journal_0102-6720","0102-6720","ABCD Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","KnowledgeField_15",15,"MEDICINA I","YearEvaluation_2005",2005,"Qualis_B5","B5"
"Journal_0102-6720_KnowledgeField_16_YearEvaluation_2005_Qualis_B5","Journal_0102-6720","0102-6720","ABCD Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","KnowledgeField_16",16,"MEDICINA II","YearEvaluation_2005",2005,"Qualis_B5","B5"
"Journal_0102-6720_KnowledgeField_17_YearEvaluation_2005_Qualis_B5","Journal_0102-6720","0102-6720","ABCD Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","KnowledgeField_17",17,"MEDICINA III","YearEvaluation_2005",2005,"Qualis_B5","B5"
"Journal_1980-4814_KnowledgeField_27_YearEvaluation_2005_Qualis_B5","Journal_1980-4814","1980-4814","ABCustos (São Leopoldo)","KnowledgeField_27",27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","YearEvaluation_2005",2005,"Qualis_B5","B5"
"Journal_1980-4814_KnowledgeField_10_YearEvaluation_2005_Qualis_B5","Journal_1980-4814","1980-4814","ABCustos (São Leopoldo)","KnowledgeField_10",10,"ENGENHARIAS I","YearEvaluation_2005",2005,"Qualis_B5","B5"
"Journal_1980-4814_KnowledgeField_13_YearEvaluation_2005_Qualis_B3","Journal_1980-4814","1980-4814","ABCustos (São Leopoldo)","KnowledgeField_13",13,"ENGENHARIAS III","YearEvaluation_2005",2005,"Qualis_B3","B3"
"Journal_0104-3501_KnowledgeField_26_YearEvaluation_2005_Qualis_C","Journal_0104-3501","0104-3501","ABECANews (Curitiba)","KnowledgeField_26",26,"DIREITO","YearEvaluation_2005",2005,"Qualis_C","C"
"Journal_1518-0581_KnowledgeField_41_YearEvaluation_2005_Qualis_B1","Journal_1518-0581","1518-0581","ABEI Journal (São Paulo)","KnowledgeField_41",41,"LETRAS / LINGUÍSTICA","YearEvaluation_2005",2005,"Qualis_B1","B1"
"Journal_0874-2731_KnowledgeField_48_YearEvaluation_2005_Qualis_C","Journal_0874-2731","0874-2731","ABO. Revista de Medicina Transfusional","KnowledgeField_48",48,"BIOTECNOLOGIA","YearEvaluation_2005",2005,"Qualis_C","C"
"Journal_0874-2731_KnowledgeField_45_YearEvaluation_2005_Qualis_B4","Journal_0874-2731","0874-2731","ABO. Revista de Medicina Transfusional","KnowledgeField_45",45,"INTERDISCIPLINAR","YearEvaluation_2005",2005,"Qualis_B4","B4"
"Journal_0874-2731_KnowledgeField_15_YearEvaluation_2005_Qualis_B5","Journal_0874-2731","0874-2731","ABO. Revista de Medicina Transfusional","KnowledgeField_15",15,"MEDICINA I","YearEvaluation_2005",2005,"Qualis_B5","B5"
"Journal_1809-8630_KnowledgeField_20_YearEvaluation_2005_Qualis_B5","Journal_1809-8630","1809-8630","ABRAMET. Associação Brasileira de Medicina de Tráfego","KnowledgeField_20",20,"ENFERMAGEM","YearEvaluation_2005",2005,"Qualis_B5","B5"
"Journal_1687-0409_KnowledgeField_1_YearEvaluation_2005_Qualis_B5","Journal_1687-0409","1687-0409","Abstract and Applied Analysis","KnowledgeField_1",1,"MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA","YearEvaluation_2005",2005,"Qualis_B5","B5"
"Journal_0922-9280_KnowledgeField_16_YearEvaluation_2005_Qualis_C","Journal_0922-9280","0922-9280","Abstract Book (Groningen)","KnowledgeField_16",16,"MEDICINA II","YearEvaluation_2005",2005,"Qualis_C","C"
"Journal_1807-9792_KnowledgeField_14_YearEvaluation_2005_Qualis_B5","Journal_1807-9792","1807-9792","Abstracta : linguagem, mente e ação (Niterói)","KnowledgeField_14",14,"ENGENHARIAS IV","YearEvaluation_2005",2005,"Qualis_B5","B5"
"Journal_1807-9792_KnowledgeField_999_YearEvaluation_2005_Qualis_C","Journal_1807-9792","1807-9792","Abstracta : linguagem, mente e ação (Niterói)","KnowledgeField_999",999,"ENSINO DE CIÊNCIAS E MATEMATICA","YearEvaluation_2005",2005,"Qualis_C","C"
"Journal_1807-9792_KnowledgeField_33_YearEvaluation_2005_Qualis_B3","Journal_1807-9792","1807-9792","Abstracta : linguagem, mente e ação (Niterói)","KnowledgeField_33",33,"FILOSOFIA","YearEvaluation_2005",2005,"Qualis_B3","B3"
"Journal_1807-9792_KnowledgeField_45_YearEvaluation_2005_Qualis_B2","Journal_1807-9792","1807-9792","Abstracta : linguagem, mente e ação (Niterói)","KnowledgeField_45",45,"INTERDISCIPLINAR","YearEvaluation_2005",2005,"Qualis_B2","B2"
"Journal_1807-9792_KnowledgeField_22_YearEvaluation_2005_Qualis_C","Journal_1807-9792","1807-9792","Abstracta : linguagem, mente e ação (Niterói)","KnowledgeField_22",22,"SAÚDE COLETIVA","YearEvaluation_2005",2005,"Qualis_C","C"
"Journal_1676-3769_KnowledgeField_40_YearEvaluation_2005_Qualis_B5","Journal_1676-3769","1676-3769","Academia (Academia de Ciências Sociais do Ceará)","KnowledgeField_40",40,"HISTÓRIA","YearEvaluation_2005",2005,"Qualis_B5","B5"
"Journal_1806-6844_KnowledgeField_38_YearEvaluation_2005_Qualis_C","Journal_1806-6844","1806-6844","Academia (FAU/UFRJ)","KnowledgeField_38",38,"EDUCAÇÃO","YearEvaluation_2005",2005,"Qualis_C","C"
"Journal_1012-8255_KnowledgeField_27_YearEvaluation_2005_Qualis_B2","Journal_1012-8255","1012-8255","Academia Revista Latinoamericana de Administración","KnowledgeField_27",27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","YearEvaluation_2005",2005,"Qualis_B2","B2"
"Journal_1076-6332_KnowledgeField_16_YearEvaluation_2005_Qualis_B1","Journal_1076-6332","1076-6332","Academic Radiology","KnowledgeField_16",16,"MEDICINA II","YearEvaluation_2005",2005,"Qualis_B1","B1"
"Journal_1809-3604_KnowledgeField_33_YearEvaluation_2005_Qualis_B5","Journal_1809-3604","1809-3604","Academos (São Bernardo do Campo)","KnowledgeField_33",33,"FILOSOFIA","YearEvaluation_2005",2005,"Qualis_B5","B5"
"Journal_1809-3604_KnowledgeField_45_YearEvaluation_2005_Qualis_B5","Journal_1809-3604","1809-3604","Academos (São Bernardo do Campo)","KnowledgeField_45",45,"INTERDISCIPLINAR","YearEvaluation_2005",2005,"Qualis_B5","B5"
"Journal_1806-9436_KnowledgeField_21_YearEvaluation_2005_Qualis_B5","Journal_1806-9436","1806-9436","Ação & Movimento (Rio de Janeiro)","KnowledgeField_21",21,"EDUCAÇÃO FÍSICA","YearEvaluation_2005",2005,"Qualis_B5","B5"
"Journal_1806-9436_KnowledgeField_5_YearEvaluation_2005_Qualis_B5","Journal_1806-9436","1806-9436","Ação & Movimento (Rio de Janeiro)","KnowledgeField_5",5,"GEOCIÊNCIAS","YearEvaluation_2005",2005,"Qualis_B5","B5"
"Journal_1806-9436_KnowledgeField_45_YearEvaluation_2005_Qualis_B4","Journal_1806-9436","1806-9436","Ação & Movimento (Rio de Janeiro)","KnowledgeField_45",45,"INTERDISCIPLINAR","YearEvaluation_2005",2005,"Qualis_B4","B4"
"Journal_1806-9436_KnowledgeField_16_YearEvaluation_2005_Qualis_B5","Journal_1806-9436","1806-9436","Ação & Movimento (Rio de Janeiro)","KnowledgeField_16",16,"MEDICINA II","YearEvaluation_2005",2005,"Qualis_B5","B5"
"Journal_1806-9436_KnowledgeField_22_YearEvaluation_2005_Qualis_B5","Journal_1806-9436","1806-9436","Ação & Movimento (Rio de Janeiro)","KnowledgeField_22",22,"SAÚDE COLETIVA","YearEvaluation_2005",2005,"Qualis_B5","B5"
"Journal_1519-0552_KnowledgeField_38_YearEvaluation_2005_Qualis_B5","Journal_1519-0552","1519-0552","Ação Ambiental (UFV)","KnowledgeField_38",38,"EDUCAÇÃO","YearEvaluation_2005",2005,"Qualis_B5","B5"
"Journal_1519-0552_KnowledgeField_13_YearEvaluation_2005_Qualis_B5","Journal_1519-0552","1519-0552","Ação Ambiental (UFV)","KnowledgeField_13",13,"ENGENHARIAS III","YearEvaluation_2005",2005,"Qualis_B5","B5"
"Journal_1519-0552_KnowledgeField_36_YearEvaluation_2005_Qualis_B4","Journal_1519-0552","1519-0552","Ação Ambiental (UFV)","KnowledgeField_36",36,"GEOGRAFIA","YearEvaluation_2005",2005,"Qualis_B4","B4"
"Journal_1519-0552_KnowledgeField_45_YearEvaluation_2005_Qualis_B3","Journal_1519-0552","1519-0552","Ação Ambiental (UFV)","KnowledgeField_45",45,"INTERDISCIPLINAR","YearEvaluation_2005",2005,"Qualis_B3","B3"
"Journal_1519-7859_KnowledgeField_13_YearEvaluation_2005_Qualis_B4","Journal_1519-7859","1519-7859","Ação Ergonômica","KnowledgeField_13",13,"ENGENHARIAS III","YearEvaluation_2005",2005,"Qualis_B4","B4"
"Journal_0044-586X_KnowledgeField_42_YearEvaluation_2005_Qualis_B3","Journal_0044-586X","0044-586X","Acarologia","KnowledgeField_42",42,"CIÊNCIAS AGRÁRIAS I","YearEvaluation_2005",2005,"Qualis_B3","B3"
"Journal_1678-1996_KnowledgeField_41_YearEvaluation_2005_Qualis_B5","Journal_1678-1996","1678-1996","Acauã","KnowledgeField_41",41,"LETRAS / LINGUÍSTICA","YearEvaluation_2005",2005,"Qualis_B5","B5"
"Journal_1520-4898_KnowledgeField_4_YearEvaluation_2005_Qualis_A1","Journal_1520-4898","1520-4898","Accounts of Chemical Research","KnowledgeField_4",4,"QUÍMICA","YearEvaluation_2005",2005,"Qualis_A1","A1"
"Journal_1432-0517_KnowledgeField_42_YearEvaluation_2005_Qualis_B1","Journal_1432-0517","1432-0517","Accreditation and Quality Assurance","KnowledgeField_42",42,"CIÊNCIAS AGRÁRIAS I","YearEvaluation_2005",2005,"Qualis_B1","B1"
"Journal_1432-0517_KnowledgeField_12_YearEvaluation_2005_Qualis_B2","Journal_1432-0517","1432-0517","Accreditation and Quality Assurance","KnowledgeField_12",12,"ENGENHARIAS II","YearEvaluation_2005",2005,"Qualis_B2","B2"
"Journal_1432-0517_KnowledgeField_45_YearEvaluation_2005_Qualis_B1","Journal_1432-0517","1432-0517","Accreditation and Quality Assurance","KnowledgeField_45",45,"INTERDISCIPLINAR","YearEvaluation_2005",2005,"Qualis_B1","B1"
"Journal_0102-700X_KnowledgeField_38_YearEvaluation_2005_Qualis_B3","Journal_0102-700X","0102-700X","Acervo (Rio de Janeiro)","KnowledgeField_38",38,"EDUCAÇÃO","YearEvaluation_2005",2005,"Qualis_B3","B3"
"Journal_0102-700X_KnowledgeField_10_YearEvaluation_2005_Qualis_B4","Journal_0102-700X","0102-700X","Acervo (Rio de Janeiro)","KnowledgeField_10",10,"ENGENHARIAS I","YearEvaluation_2005",2005,"Qualis_B4","B4"
"Journal_0102-700X_KnowledgeField_40_YearEvaluation_2005_Qualis_C","Journal_0102-700X","0102-700X","Acervo (Rio de Janeiro)","KnowledgeField_40",40,"HISTÓRIA","YearEvaluation_2005",2005,"Qualis_C","C"
"Journal_0102-700X_KnowledgeField_45_YearEvaluation_2005_Qualis_B2","Journal_0102-700X","0102-700X","Acervo (Rio de Janeiro)","KnowledgeField_45",45,"INTERDISCIPLINAR","YearEvaluation_2005",2005,"Qualis_B2","B2"
"Journal_1981-867X_KnowledgeField_45_YearEvaluation_2005_Qualis_B4","Journal_1981-867X","1981-867X","Acervo On-line de Mídia Regional (UNITAU)","KnowledgeField_45",45,"INTERDISCIPLINAR","YearEvaluation_2005",2005,"Qualis_B4","B4"
"Journal_0103-0736_KnowledgeField_14_YearEvaluation_2005_Qualis_B5","Journal_0103-0736","0103-0736","Acesso (São Paulo)","KnowledgeField_14",14,"ENGENHARIAS IV","YearEvaluation_2005",2005,"Qualis_B5","B5"
"Journal_1677-8855_KnowledgeField_27_YearEvaluation_2005_Qualis_C","Journal_1677-8855","1677-8855","Achegas.net","KnowledgeField_27",27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","YearEvaluation_2005",2005,"Qualis_C","C"
"Journal_1677-8855_KnowledgeField_38_YearEvaluation_2005_Qualis_B4","Journal_1677-8855","1677-8855","Achegas.net","KnowledgeField_38",38,"EDUCAÇÃO","YearEvaluation_2005",2005,"Qualis_B4","B4"
"Journal_1677-8855_KnowledgeField_40_YearEvaluation_2005_Qualis_B3","Journal_1677-8855","1677-8855","Achegas.net","KnowledgeField_40",40,"HISTÓRIA","YearEvaluation_2005",2005,"Qualis_B3","B3"
"Journal_1677-8855_KnowledgeField_45_YearEvaluation_2005_Qualis_B4","Journal_1677-8855","1677-8855","Achegas.net","KnowledgeField_45",45,"INTERDISCIPLINAR","YearEvaluation_2005",2005,"Qualis_B4","B4"
"Journal_1677-8855_KnowledgeField_34_YearEvaluation_2005_Qualis_B5","Journal_1677-8855","1677-8855","Achegas.net","KnowledgeField_34",34,"SOCIOLOGIA","YearEvaluation_2005",2005,"Qualis_B5","B5"
"Journal_0329-8191_KnowledgeField_41_YearEvaluation_2005_Qualis_B4","Journal_0329-8191","0329-8191","Acheronta (Buenos Aires)","KnowledgeField_41",41,"LETRAS / LINGUÍSTICA","YearEvaluation_2005",2005,"Qualis_B4","B4"
"Journal_0329-9147_KnowledgeField_31_YearEvaluation_2005_Qualis_B3","Journal_0329-9147","0329-9147","Acheronta (Online)","KnowledgeField_31",31,"COMUNICAÇÃO E INFORMAÇÃO","YearEvaluation_2005",2005,"Qualis_B3","B3"
"Journal_0329-9147_KnowledgeField_37_YearEvaluation_2005_Qualis_B5","Journal_0329-9147","0329-9147","Acheronta (Online)","KnowledgeField_37",37,"PSICOLOGIA","YearEvaluation_2005",2005,"Qualis_B5","B5"
"Journal_0889-325X_KnowledgeField_10_YearEvaluation_2005_Qualis_A1","Journal_0889-325X","0889-325X","ACI Materials Journal","KnowledgeField_10",10,"ENGENHARIAS I","YearEvaluation_2005",2005,"Qualis_A1","A1"
"Journal_0889-325X_KnowledgeField_12_YearEvaluation_2005_Qualis_B2","Journal_0889-325X","0889-325X","ACI Materials Journal","KnowledgeField_12",12,"ENGENHARIAS II","YearEvaluation_2005",2005,"Qualis_B2","B2"
"Journal_0889-325X_KnowledgeField_13_YearEvaluation_2005_Qualis_B1","Journal_0889-325X","0889-325X","ACI Materials Journal","KnowledgeField_13",13,"ENGENHARIAS III","YearEvaluation_2005",2005,"Qualis_B1","B1"
